type0_f1,type0_precision,type0_recall,type0_support,type1_f1,type1_precision,type1_recall,type1_support,f1,landmark_index,type1_1,type1_0,precision,pred,recall,sample_index,type0_1,type0_0
0.988235294,0.976744186,1,42,0.985507246,1,0.971428571,35,0.986995272,136,34,1,0.987315011,0,0.987012987,113,0,42
0.987951807,1,0.976190476,42,0.985915493,0.972222222,1,35,0.98702621,137,35,0,0.987373737,0,0.987012987,113,1,41
1,1,1,42,1,1,1,35,1,138,35,0,1,0,1,113,0,42
1,1,1,42,1,1,1,35,1,139,35,0,1,0,1,113,0,42
0.987951807,1,0.976190476,42,0.985915493,0.972222222,1,35,0.98702621,140,35,0,0.987373737,0,0.987012987,113,1,41
1,1,1,42,1,1,1,35,1,141,35,0,1,0,1,113,0,42
1,1,1,42,1,1,1,35,1,142,35,0,1,0,1,113,0,42
1,1,1,42,1,1,1,35,1,143,35,0,1,0,1,113,0,42
0.987951807,1,0.976190476,42,0.985915493,0.972222222,1,35,0.98702621,144,35,0,0.987373737,0,0.987012987,113,1,41
0.705882353,0.545454545,1,42,0,0,0,35,0.385026738,145,0,35,0.297520661,0,0.545454545,113,0,42
0.705882353,0.545454545,1,42,0,0,0,35,0.385026738,146,0,35,0.297520661,0,0.545454545,113,0,42
1,1,1,42,1,1,1,35,1,147,35,0,1,0,1,113,0,42
1,1,1,42,1,1,1,35,1,148,35,0,1,0,1,113,0,42
1,1,1,42,1,1,1,35,1,149,35,0,1,0,1,113,0,42
1,1,1,42,1,1,1,35,1,150,35,0,1,0,1,113,0,42
1,1,1,42,1,1,1,35,1,151,35,0,1,0,1,113,0,42
1,1,1,42,1,1,1,35,1,152,35,0,1,0,1,113,0,42
0.705882353,0.545454545,1,42,0,0,0,35,0.385026738,1,0,35,0.297520661,0,0.545454545,107,0,42
0.705882353,0.545454545,1,42,0,0,0,35,0.385026738,2,0,35,0.297520661,0,0.545454545,107,0,42
0.705882353,0.545454545,1,42,0,0,0,35,0.385026738,3,0,35,0.297520661,0,0.545454545,107,0,42
1,1,1,42,1,1,1,35,1,4,35,0,1,0,1,107,0,42
1,1,1,42,1,1,1,35,1,5,35,0,1,0,1,107,0,42
1,1,1,42,1,1,1,35,1,6,35,0,1,0,1,107,0,42
0.705882353,0.545454545,1,42,0,0,0,35,0.385026738,7,0,35,0.297520661,0,0.545454545,107,0,42
0.705882353,0.545454545,1,42,0,0,0,35,0.385026738,8,0,35,0.297520661,0,0.545454545,107,0,42
1,1,1,42,1,1,1,35,1,9,35,0,1,0,1,107,0,42
1,1,1,42,1,1,1,35,1,10,35,0,1,0,1,107,0,42
0.963855422,0.975609756,0.952380952,42,0.957746479,0.944444444,0.971428571,35,0.961078629,11,34,1,0.961443705,0,0.961038961,107,2,40
1,1,1,42,1,1,1,35,1,12,35,0,1,0,1,107,0,42
0.988235294,0.976744186,1,42,0.985507246,1,0.971428571,35,0.986995272,13,34,1,0.987315011,0,0.987012987,107,0,42
0.925,0.973684211,0.880952381,42,0.918918919,0.871794872,0.971428571,35,0.922235872,14,34,1,0.927370875,0,0.922077922,107,5,37
0.988235294,0.976744186,1,42,0.985507246,1,0.971428571,35,0.986995272,15,34,1,0.987315011,0,0.987012987,107,0,42
0.705882353,0.545454545,1,42,0,0,0,35,0.385026738,16,0,35,0.297520661,0,0.545454545,107,0,42
0.925,0.973684211,0.880952381,42,0.918918919,0.871794872,0.971428571,35,0.922235872,17,34,1,0.927370875,0,0.922077922,107,5,37
0.951219512,0.975,0.928571429,42,0.944444444,0.918918919,0.971428571,35,0.948139936,18,34,1,0.9495086,0,0.948051948,107,3,39
0.739726027,0.870967742,0.642857143,42,0.765432099,0.673913043,0.885714286,35,0.751410605,19,31,4,0.781397424,0,0.753246753,107,15,27
0.695652174,0.888888889,0.571428571,42,0.752941176,0.64,0.914285714,35,0.72169263,20,32,3,0.775757576,0,0.727272727,107,18,24
0.902439024,0.925,0.880952381,42,0.888888889,0.864864865,0.914285714,35,0.896279872,21,32,3,0.897665848,0,0.896103896,107,5,37
0.954545455,0.913043478,1,42,0.939393939,1,0.885714286,35,0.947658402,22,31,4,0.95256917,0,0.948051948,107,0,42
0.976744186,0.954545455,1,42,0.970588235,1,0.942857143,35,0.973946027,23,33,2,0.975206612,0,0.974025974,107,0,42
0.976190476,0.976190476,0.976190476,42,0.971428571,0.971428571,0.971428571,35,0.974025974,24,34,1,0.974025974,0,0.974025974,107,1,41
0.784810127,0.837837838,0.738095238,42,0.773333333,0.725,0.828571429,35,0.779593402,25,29,6,0.786547912,0,0.779220779,107,11,31
0.829268293,0.85,0.80952381,42,0.805555556,0.783783784,0.828571429,35,0.818489776,26,29,6,0.81990172,0,0.818181818,107,8,34
0.850574713,0.822222222,0.880952381,42,0.805970149,0.84375,0.771428571,35,0.830299911,27,27,8,0.832007576,0,0.831168831,107,5,37
0.840909091,0.804347826,0.880952381,42,0.787878788,0.838709677,0.742857143,35,0.816804408,28,26,9,0.819966849,0,0.818181818,107,5,37
0.837209302,0.818181818,0.857142857,42,0.794117647,0.818181818,0.771428571,35,0.817622186,29,27,8,0.818181818,0,0.818181818,107,6,36
0.8,0.790697674,0.80952381,42,0.753623188,0.764705882,0.742857143,35,0.778919631,30,26,9,0.778883223,0,0.779220779,107,8,34
0.891304348,0.82,0.976190476,42,0.838709677,0.962962963,0.742857143,35,0.867397679,31,26,9,0.884983165,0,0.87012987,107,1,41
0.773333333,0.878787879,0.69047619,42,0.784810127,0.704545455,0.885714286,35,0.778550058,32,31,4,0.799586777,0,0.779220779,107,13,29
0.813953488,0.795454545,0.833333333,42,0.764705882,0.787878788,0.742857143,35,0.791568213,33,26,9,0.792011019,0,0.792207792,107,7,35
0.853932584,0.808510638,0.904761905,42,0.8,0.866666667,0.742857143,35,0.829417773,34,26,9,0.834945197,0,0.831168831,107,4,38
0.866666667,0.8125,0.928571429,42,0.8125,0.896551724,0.742857143,35,0.842045455,35,26,9,0.850705329,0,0.844155844,107,3,39
0.787234043,0.711538462,0.880952381,42,0.666666667,0.8,0.571428571,35,0.73243069,36,20,15,0.751748252,0,0.74025974,107,5,37
0.823529412,0.813953488,0.833333333,42,0.782608696,0.794117647,0.771428571,35,0.804929086,37,27,8,0.804937197,0,0.805194805,107,7,35
0.778947368,0.698113208,0.880952381,42,0.644067797,0.791666667,0.542857143,35,0.717638472,38,19,16,0.740637507,0,0.727272727,107,5,37
0.787234043,0.711538462,0.880952381,42,0.666666667,0.8,0.571428571,35,0.73243069,39,20,15,0.751748252,0,0.74025974,107,5,37
0.847826087,0.78,0.928571429,42,0.774193548,0.888888889,0.685714286,35,0.814356751,40,24,11,0.829494949,0,0.818181818,107,3,39
0.819277108,0.829268293,0.80952381,42,0.788732394,0.777777778,0.8,35,0.805393147,41,28,7,0.805863513,0,0.805194805,107,8,34
0.813953488,0.795454545,0.833333333,42,0.764705882,0.787878788,0.742857143,35,0.791568213,42,26,9,0.792011019,0,0.792207792,107,7,35
0.823529412,0.7,1,42,0.653846154,1,0.485714286,35,0.746400658,43,17,18,0.836363636,0,0.766233766,107,0,42
0.723404255,0.653846154,0.80952381,42,0.566666667,0.68,0.485714286,35,0.652159897,44,17,18,0.665734266,1,0.662337662,107,8,34
0.776470588,0.76744186,0.785714286,42,0.724637681,0.735294118,0.714285714,35,0.752910176,45,25,10,0.75282925,1,0.753246753,107,9,33
0.8,0.790697674,0.80952381,42,0.753623188,0.764705882,0.742857143,35,0.778919631,46,26,9,0.778883223,0,0.779220779,107,8,34
0.808988764,0.765957447,0.857142857,42,0.738461538,0.8,0.685714286,35,0.776930934,47,24,11,0.781431335,0,0.779220779,107,6,36
0.8,0.842105263,0.761904762,42,0.783783784,0.743589744,0.828571429,35,0.792628993,48,29,6,0.797325482,0,0.792207792,107,10,32
0.835164835,0.775510204,0.904761905,42,0.761904762,0.857142857,0.685714286,35,0.801864802,49,24,11,0.812615955,1,0.805194805,107,4,38
0.781609195,0.755555556,0.80952381,42,0.71641791,0.75,0.685714286,35,0.751976793,50,24,11,0.753030303,0,0.753246753,107,8,34
0.772727273,0.739130435,0.80952381,42,0.696969697,0.741935484,0.657142857,35,0.738292011,51,23,12,0.740405457,0,0.74025974,107,8,34
0.804597701,0.777777778,0.833333333,42,0.746268657,0.78125,0.714285714,35,0.778084499,52,25,10,0.779356061,1,0.779220779,107,7,35
0.840909091,0.804347826,0.880952381,42,0.787878788,0.838709677,0.742857143,35,0.816804408,53,26,9,0.819966849,0,0.818181818,107,5,37
0.714285714,0.714285714,0.714285714,42,0.657142857,0.657142857,0.657142857,35,0.688311688,54,23,12,0.688311688,0,0.688311688,107,12,30
0.795918367,0.696428571,0.928571429,42,0.642857143,0.857142857,0.514285714,35,0.726345083,55,18,17,0.769480519,0,0.74025974,107,3,39
