,landmark_index,pred,ww,wm,mm,mw,w_support,m_support,w_precision,w_recall,m_precision,m_recall,w_f1,m_f1,precision,recall,f1
64,65,0,37,5,27,8,42,35,0.8222222222222222,0.8809523809523809,0.84375,0.7714285714285715,0.8505747126436781,0.8059701492537314,0.8320075757575758,0.8311688311688312,0.8302999111027933
65,66,1,33,9,26,9,42,35,0.7857142857142857,0.7857142857142857,0.7428571428571429,0.7428571428571429,0.7857142857142857,0.7428571428571429,0.7662337662337663,0.7662337662337663,0.7662337662337663
66,67,1,28,14,25,10,42,35,0.7368421052631579,0.6666666666666666,0.6410256410256411,0.7142857142857143,0.7,0.6756756756756757,0.6932891669733775,0.6883116883116883,0.688943488943489
67,68,1,36,6,17,18,42,35,0.6666666666666666,0.8571428571428571,0.7391304347826086,0.4857142857142857,0.75,0.5862068965517241,0.6996047430830039,0.6883116883116883,0.6755485893416927
68,69,1,39,3,23,12,42,35,0.7647058823529411,0.9285714285714286,0.8846153846153846,0.6571428571428571,0.8387096774193549,0.7540983606557377,0.8192102015631427,0.8051948051948052,0.800249987981347
69,70,1,36,6,23,12,42,35,0.75,0.8571428571428571,0.7931034482758621,0.6571428571428571,0.7999999999999999,0.71875,0.7695924764890283,0.7662337662337663,0.7630681818181817
70,71,1,32,10,25,10,42,35,0.7619047619047619,0.7619047619047619,0.7142857142857143,0.7142857142857143,0.7619047619047619,0.7142857142857143,0.7402597402597403,0.7402597402597403,0.7402597402597403
71,72,0,34,8,23,12,42,35,0.7391304347826086,0.8095238095238095,0.7419354838709677,0.6571428571428571,0.7727272727272727,0.6969696969696969,0.7404054570954991,0.7402597402597403,0.7382920110192837
72,73,0,36,6,20,15,42,35,0.7058823529411765,0.8571428571428571,0.7692307692307693,0.5714285714285714,0.7741935483870968,0.6557377049180327,0.7346770876182641,0.7272727272727273,0.7203499831738859
73,74,0,38,4,22,13,42,35,0.7450980392156863,0.9047619047619048,0.8461538461538461,0.6285714285714286,0.8172043010752689,0.721311475409836,0.7910324969148499,0.7792207792207793,0.7736166530455267
74,75,0,41,1,14,21,42,35,0.6612903225806451,0.9761904761904762,0.9333333333333333,0.4,0.7884615384615384,0.5599999999999999,0.7849462365591398,0.7142857142857143,0.6846153846153845
75,76,0,32,10,14,21,42,35,0.6037735849056604,0.7619047619047619,0.5833333333333334,0.4,0.6736842105263159,0.4745762711864407,0.5944825614636935,0.5974025974025974,0.5831806017354635
76,77,1,27,15,28,7,42,35,0.7941176470588235,0.6428571428571429,0.6511627906976745,0.8,0.7105263157894737,0.7179487179487181,0.7291381668946648,0.7142857142857143,0.7139001349527666
77,78,1,30,12,23,12,42,35,0.7142857142857143,0.7142857142857143,0.6571428571428571,0.6571428571428571,0.7142857142857143,0.6571428571428571,0.6883116883116883,0.6883116883116883,0.6883116883116883
78,79,1,34,8,23,12,42,35,0.7391304347826086,0.8095238095238095,0.7419354838709677,0.6571428571428571,0.7727272727272727,0.6969696969696969,0.7404054570954991,0.7402597402597403,0.7382920110192837
79,80,0,33,9,26,9,42,35,0.7857142857142857,0.7857142857142857,0.7428571428571429,0.7428571428571429,0.7857142857142857,0.7428571428571429,0.7662337662337663,0.7662337662337663,0.7662337662337663
80,81,0,38,4,20,15,42,35,0.7169811320754716,0.9047619047619048,0.8333333333333334,0.5714285714285714,0.8,0.6779661016949152,0.7698684962835907,0.7532467532467533,0.7445300462249616
81,82,0,37,5,18,17,42,35,0.6851851851851852,0.8809523809523809,0.782608695652174,0.5142857142857142,0.7708333333333335,0.6206896551724138,0.7294685990338164,0.7142857142857143,0.7025862068965518
82,83,0,37,5,17,18,42,35,0.6727272727272727,0.8809523809523809,0.7727272727272727,0.4857142857142857,0.7628865979381443,0.5964912280701754,0.7181818181818181,0.7012987012987013,0.6872523389072493
83,84,0,37,5,17,18,42,35,0.6727272727272727,0.8809523809523809,0.7727272727272727,0.4857142857142857,0.7628865979381443,0.5964912280701754,0.7181818181818181,0.7012987012987013,0.6872523389072493
