sample_index,pts,r,stype,landmark_index
140,0,1.804991465,wt-at,9
141,0,1.804991465,wt-at,9
142,179,1.521398588,wt-at,9
143,0,1.804991465,wt-at,9
152,0,0,mt-at,9
172,0,0,mt-at,9
19,0,0,mt-at,9
2,0,0,mt-at,9
21,0,0,mt-at,9
24,0,0,mt-at,9
3,0,0,mt-at,9
317,0,0,mt-at,9
318,0,0,mt-at,9
319,0,0,mt-at,9
320,0,0,mt-at,9
321,0,0,mt-at,9
323,0,0,mt-at,9
324,0,0,mt-at,9
325,0,0,mt-at,9
326,0,0,mt-at,9
327,0,0,mt-at,9
328,0,0,mt-at,9
329,0,0,mt-at,9
330,0,0,mt-at,9
331,0,0,mt-at,9
332,0,0,mt-at,9
333,0,0,mt-at,9
334,0,0,mt-at,9
335,0,0,mt-at,9
336,0,0,mt-at,9
337,0,0,mt-at,9
338,0,0,mt-at,9
339,0,0,mt-at,9
340,0,0,mt-at,9
4,0,0,mt-at,9
5,0,0,mt-at,9
6,0,0,mt-at,9
1,0,0,mt-at,10
101,0,2.977551598,wt-at,10
102,0,2.977551598,wt-at,10
103,0,2.977551598,wt-at,10
104,0,2.977551598,wt-at,10
105,0,2.977551598,wt-at,10
106,0,2.977551598,wt-at,10
107,0,2.977551598,wt-at,10
108,0,2.977551598,wt-at,10
109,274,4.597658949,wt-at,10
110,0,2.977551598,wt-at,10
111,0,2.977551598,wt-at,10
112_1,0,2.977551598,wt-at,10
112_2,0,0,mt-at,10
113,680,5.805143615,wt-at,10
114,0,2.977551598,wt-at,10
115,0,2.977551598,wt-at,10
116,188,2.977551598,wt-at,10
117,0,2.977551598,wt-at,10
118,0,2.977551598,wt-at,10
119,0,2.977551598,wt-at,10
120,0,2.977551598,wt-at,10
121,0,2.977551598,wt-at,10
122,0,2.977551598,wt-at,10
123,0,2.977551598,wt-at,10
124,0,2.977551598,wt-at,10
125,0,2.977551598,wt-at,10
126,0,2.977551598,wt-at,10
127,0,2.977551598,wt-at,10
128,0,2.977551598,wt-at,10
129,0,2.977551598,wt-at,10
130,0,2.977551598,wt-at,10
131,0,2.977551598,wt-at,10
132,37,2.731946383,wt-at,10
133,0,2.977551598,wt-at,10
134,0,2.977551598,wt-at,10
135,0,2.977551598,wt-at,10
136,0,2.977551598,wt-at,10
137,0,2.977551598,wt-at,10
138,0,2.977551598,wt-at,10
139,0,2.977551598,wt-at,10
140,0,2.977551598,wt-at,10
141,0,2.977551598,wt-at,10
142,24,0.633603791,wt-at,10
143,0,2.977551598,wt-at,10
152,0,0,mt-at,10
172,0,0,mt-at,10
19,0,0,mt-at,10
2,0,0,mt-at,10
