,landmark_index,sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype
266,115,2,42.88,52.4,-2.36,-1.57,50,0,4.130236,mt-at
267,116,2,42.88,52.4,-3.14,-2.36,50,22,7.812453205,mt-at
268,117,2,42.88,52.4,0.0,0.79,50,82,3.686294984,mt-at
269,118,2,42.88,52.4,0.79,1.57,50,12,4.209458518,mt-at
270,119,2,42.88,52.4,1.57,2.36,50,16,1.98010726,mt-at
271,120,2,42.88,52.4,2.36,3.14,50,0,2.855610608,mt-at
272,121,2,52.4,61.93,-0.79,0.0,50,0,3.834412511,mt-at
273,122,2,52.4,61.93,-1.57,-0.79,50,0,4.733756025,mt-at
274,123,2,52.4,61.93,-2.36,-1.57,50,0,3.601457504,mt-at
275,124,2,52.4,61.93,-3.14,-2.36,50,0,2.163766678,mt-at
276,125,2,52.4,61.93,0.0,0.79,50,0,3.8813152289999997,mt-at
277,126,2,52.4,61.93,0.79,1.57,50,0,5.80427286,mt-at
278,127,2,52.4,61.93,1.57,2.36,50,0,5.4302022789999995,mt-at
279,128,2,52.4,61.93,2.36,3.14,50,0,3.112946833,mt-at
280,129,2,61.93,71.46,-0.79,0.0,50,0,4.1862900960000005,mt-at
281,130,2,61.93,71.46,-1.57,-0.79,50,0,5.059668428,mt-at
282,131,2,61.93,71.46,-2.36,-1.57,50,0,3.3600990289999997,mt-at
283,132,2,61.93,71.46,-3.14,-2.36,50,0,2.166991583,mt-at
284,133,2,61.93,71.46,0.0,0.79,50,0,4.414543593,mt-at
285,134,2,61.93,71.46,0.79,1.57,50,0,5.629471719,mt-at
286,135,2,61.93,71.46,1.57,2.36,50,0,3.932298175,mt-at
287,136,2,61.93,71.46,2.36,3.14,50,0,1.9527820340000002,mt-at
288,137,2,71.46,80.99,-0.79,0.0,50,0,4.462385348,mt-at
289,138,2,71.46,80.99,-1.57,-0.79,50,0,5.604087829,mt-at
290,139,2,71.46,80.99,-2.36,-1.57,50,0,2.917692891,mt-at
291,140,2,71.46,80.99,-3.14,-2.36,50,0,0.776949465,mt-at
292,141,2,71.46,80.99,0.0,0.79,50,0,4.598093426,mt-at
293,142,2,71.46,80.99,0.79,1.57,50,0,5.415072087,mt-at
294,143,2,71.46,80.99,1.57,2.36,50,0,3.6617584310000004,mt-at
295,144,2,71.46,80.99,2.36,3.14,50,0,2.146430435,mt-at
