,landmark_index,sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype
162,11,2,-23.82,-14.29,-2.36,-1.57,50,1978,3.522444078,mt-zrf
163,12,2,-23.82,-14.29,-3.14,-2.36,50,1334,4.275805571999999,mt-zrf
164,13,2,-23.82,-14.29,0.0,0.79,50,478,2.418043963,mt-zrf
165,14,2,-23.82,-14.29,0.79,1.57,50,464,2.035659596,mt-zrf
166,15,2,-23.82,-14.29,1.57,2.36,50,1311,13.45014758,mt-zrf
167,16,2,-23.82,-14.29,2.36,3.14,50,1274,4.415633636,mt-zrf
168,17,2,-33.35,-23.82,-0.79,0.0,50,82,4.002546847,mt-zrf
169,18,2,-33.35,-23.82,-1.57,-0.79,50,49,3.4241406039999998,mt-zrf
170,19,2,-33.35,-23.82,-2.36,-1.57,50,86,1.197706577,mt-zrf
171,20,2,-33.35,-23.82,-3.14,-2.36,50,653,2.645781831,mt-zrf
172,21,2,-33.35,-23.82,0.0,0.79,50,396,6.9689187829999995,mt-zrf
173,22,2,-33.35,-23.82,0.79,1.57,50,1806,3.537517706,mt-zrf
174,23,2,-33.35,-23.82,1.57,2.36,50,2101,10.80859091,mt-zrf
175,24,2,-33.35,-23.82,2.36,3.14,50,1461,11.32793636,mt-zrf
176,25,2,-4.76,4.76,-0.79,0.0,50,354,3.9732439719999997,mt-zrf
177,26,2,-4.76,4.76,-1.57,-0.79,50,903,4.495028696,mt-zrf
178,27,2,-4.76,4.76,-2.36,-1.57,50,25,5.739406687000001,mt-zrf
179,28,2,-4.76,4.76,-3.14,-2.36,50,210,4.122964646000001,mt-zrf
180,29,2,-4.76,4.76,0.0,0.79,50,67,10.67595502,mt-zrf
181,30,2,-4.76,4.76,0.79,1.57,50,5,11.69099148,mt-zrf
182,31,2,-4.76,4.76,1.57,2.36,50,172,11.22848371,mt-zrf
183,32,2,-4.76,4.76,2.36,3.14,50,199,5.049188104,mt-zrf
184,33,2,-42.88,-33.35,-0.79,0.0,50,2214,2.8258606160000004,mt-zrf
185,34,2,-42.88,-33.35,-1.57,-0.79,50,707,2.2905948019999998,mt-zrf
186,35,2,-42.88,-33.35,-2.36,-1.57,50,581,2.080730018,mt-zrf
187,36,2,-42.88,-33.35,-3.14,-2.36,50,403,2.046131624,mt-zrf
