"","Index","min_alpha","max_alpha","min_theta","max_theta","num","pts","r","stype"
"257",3,"-52.4","-42.88","-2.36","-1.57","50","94","2.588145732","mt-at"
"258",3,"-52.4","-42.88","-3.14","-2.36","50","0",NA,"mt-at"
"259",3,"-52.4","-42.88","0.0","0.79","50","103","2.404913878","mt-at"
"260",3,"-52.4","-42.88","0.79","1.57","50","16","15.09013728","mt-at"
"261",3,"-52.4","-42.88","1.57","2.36","50","0",NA,"mt-at"
"262",3,"-52.4","-42.88","2.36","3.14","50","0",NA,"mt-at"
"263",3,"-61.93","-52.4","-0.79","0.0","50","0",NA,"mt-at"
"264",3,"-61.93","-52.4","-1.57","-0.79","50","0",NA,"mt-at"
"265",3,"-61.93","-52.4","-2.36","-1.57","50","0",NA,"mt-at"
"266",3,"-61.93","-52.4","-3.14","-2.36","50","0",NA,"mt-at"
"267",3,"-61.93","-52.4","0.0","0.79","50","0",NA,"mt-at"
"268",3,"-61.93","-52.4","0.79","1.57","50","0",NA,"mt-at"
"269",3,"-61.93","-52.4","1.57","2.36","50","0",NA,"mt-at"
"270",3,"-61.93","-52.4","2.36","3.14","50","0",NA,"mt-at"
"271",3,"-71.46","-61.93","-0.79","0.0","50","0",NA,"mt-at"
"272",3,"-71.46","-61.93","-1.57","-0.79","50","0",NA,"mt-at"
"273",3,"-71.46","-61.93","-2.36","-1.57","50","0",NA,"mt-at"
"274",3,"-71.46","-61.93","-3.14","-2.36","50","0",NA,"mt-at"
"275",3,"-71.46","-61.93","0.0","0.79","50","0",NA,"mt-at"
"276",3,"-71.46","-61.93","0.79","1.57","50","0",NA,"mt-at"
"277",3,"-71.46","-61.93","1.57","2.36","50","0",NA,"mt-at"
"278",3,"-71.46","-61.93","2.36","3.14","50","0",NA,"mt-at"
"279",3,"-80.99","-71.46","-0.79","0.0","50","0",NA,"mt-at"
"280",3,"-80.99","-71.46","-1.57","-0.79","50","0",NA,"mt-at"
"281",3,"-80.99","-71.46","-2.36","-1.57","50","0",NA,"mt-at"
"282",3,"-80.99","-71.46","-3.14","-2.36","50","0",NA,"mt-at"
"283",3,"-80.99","-71.46","0.0","0.79","50","0",NA,"mt-at"
"284",3,"-80.99","-71.46","0.79","1.57","50","0",NA,"mt-at"
"285",3,"-80.99","-71.46","1.57","2.36","50","0",NA,"mt-at"
"286",3,"-80.99","-71.46","2.36","3.14","50","0",NA,"mt-at"
"287",3,"-90.51","-80.99","-0.79","0.0","50","0",NA,"mt-at"
"288",3,"-90.51","-80.99","-1.57","-0.79","50","0",NA,"mt-at"
"289",3,"-90.51","-80.99","-2.36","-1.57","50","0",NA,"mt-at"
"290",3,"-90.51","-80.99","-3.14","-2.36","50","0",NA,"mt-at"
"291",3,"-90.51","-80.99","0.0","0.79","50","0",NA,"mt-at"
"292",3,"-90.51","-80.99","0.79","1.57","50","0",NA,"mt-at"
"293",3,"-90.51","-80.99","1.57","2.36","50","0",NA,"mt-at"
"294",3,"-90.51","-80.99","2.36","3.14","50","0",NA,"mt-at"
"295",3,"14.29","23.82","-0.79","0.0","50","0",NA,"mt-at"
"296",3,"14.29","23.82","-1.57","-0.79","50","0",NA,"mt-at"
"297",3,"14.29","23.82","-2.36","-1.57","50","1","8.57708886","mt-at"
"298",3,"14.29","23.82","-3.14","-2.36","50","7","7.029950439","mt-at"
"299",3,"14.29","23.82","0.0","0.79","50","4","14.82326676","mt-at"
"300",3,"14.29","23.82","0.79","1.57","50","0",NA,"mt-at"
"301",3,"14.29","23.82","1.57","2.36","50","15","3.029113924","mt-at"
"302",3,"14.29","23.82","2.36","3.14","50","29","7.399911176","mt-at"
"303",3,"23.82","33.35","-0.79","0.0","50","1","1.584119648","mt-at"
"304",3,"23.82","33.35","-1.57","-0.79","50","0",NA,"mt-at"
"305",3,"23.82","33.35","-2.36","-1.57","50","0",NA,"mt-at"
"306",3,"23.82","33.35","-3.14","-2.36","50","674","6.427434391","mt-at"
"307",3,"23.82","33.35","0.0","0.79","50","13","1.224861411","mt-at"
"308",3,"23.82","33.35","0.79","1.57","50","761","6.773038088","mt-at"
"309",3,"23.82","33.35","1.57","2.36","50","100","4.228682174","mt-at"
"310",3,"23.82","33.35","2.36","3.14","50","78","3.300204705","mt-at"
"311",3,"33.35","42.88","-0.79","0.0","50","91","1.17995001","mt-at"
"312",3,"33.35","42.88","-1.57","-0.79","50","362","1.7961757","mt-at"
"313",3,"33.35","42.88","-2.36","-1.57","50","752","4.714668137","mt-at"
"314",3,"33.35","42.88","-3.14","-2.36","50","670","2.607929627","mt-at"
"315",3,"33.35","42.88","0.0","0.79","50","560","3.495355709","mt-at"
"316",3,"33.35","42.88","0.79","1.57","50","1489","4.053815032","mt-at"
"317",3,"33.35","42.88","1.57","2.36","50","81","1.748319648","mt-at"
"318",3,"33.35","42.88","2.36","3.14","50","83","2.395940298","mt-at"
"319",3,"4.76","14.29","-0.79","0.0","50","0",NA,"mt-at"
"320",3,"4.76","14.29","-1.57","-0.79","50","25","12.49218111","mt-at"
"321",3,"4.76","14.29","-2.36","-1.57","50","19","12.01770979","mt-at"
"322",4,"-14.29","-4.76","-0.79","0.0","50","4","0.779482257","mt-at"
