landmark_index,sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype
72,2,-80.99,-71.46,2.36,3.14,50,0,NA,mt-zrf
73,2,-90.51,-80.99,-0.79,0,50,0,NA,mt-zrf
74,2,-90.51,-80.99,-1.57,-0.79,50,0,NA,mt-zrf
75,2,-90.51,-80.99,-2.36,-1.57,50,0,NA,mt-zrf
76,2,-90.51,-80.99,-3.14,-2.36,50,0,NA,mt-zrf
77,2,-90.51,-80.99,0,0.79,50,0,NA,mt-zrf
78,2,-90.51,-80.99,0.79,1.57,50,0,NA,mt-zrf
79,2,-90.51,-80.99,1.57,2.36,50,0,NA,mt-zrf
80,2,-90.51,-80.99,2.36,3.14,50,0,NA,mt-zrf
81,2,14.29,23.82,-0.79,0,50,155,6.499439396,mt-zrf
82,2,14.29,23.82,-1.57,-0.79,50,579,4.911180095,mt-zrf
83,2,14.29,23.82,-2.36,-1.57,50,154,5.201349661,mt-zrf
84,2,14.29,23.82,-3.14,-2.36,50,710,8.266363962,mt-zrf
85,2,14.29,23.82,0,0.79,50,294,6.764286436,mt-zrf
86,2,14.29,23.82,0.79,1.57,50,37,10.39316114,mt-zrf
87,2,14.29,23.82,1.57,2.36,50,1414,14.91141455,mt-zrf
88,2,14.29,23.82,2.36,3.14,50,434,18.03520479,mt-zrf
89,2,23.82,33.35,-0.79,0,50,347,5.947478291,mt-zrf
90,2,23.82,33.35,-1.57,-0.79,50,2040,4.97605711,mt-zrf
91,2,23.82,33.35,-2.36,-1.57,50,2410,5.734653721,mt-zrf
92,2,23.82,33.35,-3.14,-2.36,50,568,4.265321924,mt-zrf
93,2,23.82,33.35,0,0.79,50,317,8.70919113,mt-zrf
94,2,23.82,33.35,0.79,1.57,50,66,3.316264334,mt-zrf
95,2,23.82,33.35,1.57,2.36,50,926,10.53360421,mt-zrf
96,2,23.82,33.35,2.36,3.14,50,564,10.75405825,mt-zrf
97,2,33.35,42.88,-0.79,0,50,3183,3.629956182,mt-zrf
98,2,33.35,42.88,-1.57,-0.79,50,2633,3.110002157,mt-zrf
99,2,33.35,42.88,-2.36,-1.57,50,3092,2.839396466,mt-zrf
100,2,33.35,42.88,-3.14,-2.36,50,1814,3.30782735,mt-zrf
101,2,33.35,42.88,0,0.79,50,1664,3.09372213,mt-zrf
102,2,33.35,42.88,0.79,1.57,50,489,2.578999156,mt-zrf
103,2,33.35,42.88,1.57,2.36,50,294,2.156149188,mt-zrf
104,2,33.35,42.88,2.36,3.14,50,606,2.491745426,mt-zrf
105,2,4.76,14.29,-0.79,0,50,76,3.295401309,mt-zrf
106,2,4.76,14.29,-1.57,-0.79,50,342,3.248060028,mt-zrf
107,2,4.76,14.29,-2.36,-1.57,50,1331,4.460752967,mt-zrf
108,2,4.76,14.29,-3.14,-2.36,50,514,4.111844511,mt-zrf
109,2,4.76,14.29,0,0.79,50,212,8.839404231,mt-zrf
110,2,4.76,14.29,0.79,1.57,50,31,11.26393824,mt-zrf
111,2,4.76,14.29,1.57,2.36,50,35,5.69167072,mt-zrf
112,2,4.76,14.29,2.36,3.14,50,421,12.27348947,mt-zrf
113,2,42.88,52.4,-0.79,0,50,1806,3.420612418,mt-zrf
114,2,42.88,52.4,-1.57,-0.79,50,134,1.590676693,mt-zrf
115,2,42.88,52.4,-2.36,-1.57,50,204,1.011636601,mt-zrf
116,2,42.88,52.4,-3.14,-2.36,50,127,0.678034691,mt-zrf
117,2,42.88,52.4,0,0.79,50,1497,2.698100252,mt-zrf
118,2,42.88,52.4,0.79,1.57,50,1155,2.132708267,mt-zrf
119,2,42.88,52.4,1.57,2.36,50,617,1.609059953,mt-zrf
120,2,42.88,52.4,2.36,3.14,50,123,0.599577321,mt-zrf
121,2,52.4,61.93,-0.79,0,50,9,6.33472258,mt-zrf
122,2,52.4,61.93,-1.57,-0.79,50,0,NA,mt-zrf
