sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype,unique_key,landmark_index
339,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
340,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
4,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
5,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
6,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
1,-90.51,-80.99,0,0.79,50,0,,mt-zrf,#DIV/0!,5
101,-90.51,-80.99,0,0.79,50,0,,wt-zrf,#DIV/0!,5
102,-90.51,-80.99,0,0.79,50,0,,wt-zrf,#DIV/0!,5
103,-90.51,-80.99,0,0.79,50,0,,wt-zrf,#DIV/0!,5
104,-90.51,-80.99,0,0.79,50,0,,wt-zrf,#DIV/0!,5
105,-90.51,-80.99,0,0.79,50,0,,wt-zrf,#DIV/0!,5
106,-90.51,-80.99,0,0.79,50,0,,wt-zrf,#DIV/0!,5
107,-90.51,-80.99,0,0.79,50,0,,wt-zrf,#DIV/0!,5
108,-90.51,-80.99,0,0.79,50,0,,wt-zrf,#DIV/0!,5
109,-90.51,-80.99,0,0.79,50,0,,wt-zrf,#DIV/0!,5
110,-90.51,-80.99,0,0.79,50,0,,wt-zrf,#DIV/0!,5
111,-90.51,-80.99,0,0.79,50,0,,wt-zrf,#DIV/0!,5
112_1,-90.51,-80.99,0,0.79,50,0,,wt-zrf,#DIV/0!,5
112_2,-90.51,-80.99,0,0.79,50,0,,mt-zrf,#DIV/0!,5
113,-90.51,-80.99,0,0.79,50,0,,wt-zrf,#DIV/0!,5
114,-90.51,-80.99,0,0.79,50,0,,wt-zrf,#DIV/0!,5
115,-90.51,-80.99,0,0.79,50,0,,wt-zrf,#DIV/0!,5
116,-90.51,-80.99,0,0.79,50,0,,wt-zrf,#DIV/0!,5
117,-90.51,-80.99,0,0.79,50,0,,wt-zrf,#DIV/0!,5
118,-90.51,-80.99,0,0.79,50,0,,wt-zrf,#DIV/0!,5
119,-90.51,-80.99,0,0.79,50,0,,wt-zrf,#DIV/0!,5
