,sample_index,landmark_index,pred,ww,wm,mm,mw,sample_id,w_support,m_support,w_precision,w_recall,m_precision,m_recall,w_f1,m_f1,precision,recall,f1
73,328,74,1,15,20,42,1,328,35,43,0.9375,0.42857142857142855,0.6774193548387096,0.9767441860465116,0.588235294117647,0.8,0.7941222084367245,0.7307692307692307,0.7049773755656108
74,328,75,1,14,21,42,1,328,35,43,0.9333333333333333,0.4,0.6666666666666666,0.9767441860465116,0.5599999999999999,0.7924528301886793,0.7863247863247863,0.717948717948718,0.6881470730527335
75,328,76,0,14,21,34,9,328,35,43,0.6086956521739131,0.4,0.6181818181818182,0.7906976744186046,0.48275862068965525,0.693877551020408,0.6139252052295531,0.6153846153846154,0.5991446976668652
76,328,77,1,26,9,33,10,328,35,43,0.7222222222222222,0.7428571428571429,0.7857142857142857,0.7674418604651163,0.732394366197183,0.7764705882352941,0.7572242572242572,0.7564102564102564,0.7566927962951161
77,328,78,1,23,12,35,8,328,35,43,0.7419354838709677,0.6571428571428571,0.7446808510638298,0.813953488372093,0.6969696969696969,0.7777777777777778,0.7434489555285712,0.7435897435897436,0.7415177415177414
78,328,79,1,20,15,37,6,328,35,43,0.7692307692307693,0.5714285714285714,0.7115384615384616,0.8604651162790697,0.6557377049180327,0.7789473684210527,0.7374260355029586,0.7307692307692307,0.7236609809517489
79,328,80,1,23,12,38,5,328,35,43,0.8214285714285714,0.6571428571428571,0.76,0.8837209302325582,0.73015873015873,0.8172043010752689,0.7875641025641026,0.782051282051282,0.7781453910486168
80,328,81,1,20,15,39,4,328,35,43,0.8333333333333334,0.5714285714285714,0.7222222222222222,0.9069767441860465,0.6779661016949152,0.8041237113402061,0.7720797720797721,0.7564102564102564,0.7475145275250116
81,328,82,1,18,17,38,5,328,35,43,0.782608695652174,0.5142857142857142,0.6909090909090909,0.8837209302325582,0.6206896551724138,0.7755102040816326,0.7320563494476539,0.717948717948718,0.7060394449557011
82,328,83,1,16,19,39,4,328,35,43,0.8,0.45714285714285713,0.6724137931034483,0.9069767441860465,0.5818181818181818,0.7722772277227723,0.7296640141467728,0.7051282051282052,0.6868148353296868
83,328,84,0,21,14,35,8,328,35,43,0.7241379310344828,0.6,0.7142857142857143,0.813953488372093,0.65625,0.7608695652173914,0.7187065807755463,0.717948717948718,0.7139248885172799
84,328,85,1,29,6,26,17,328,35,43,0.6304347826086957,0.8285714285714286,0.8125,0.6046511627906976,0.7160493827160495,0.6933333333333334,0.7308040691192864,0.7051282051282052,0.7035264324153214
85,328,86,1,20,15,36,7,328,35,43,0.7407407407407407,0.5714285714285714,0.7058823529411765,0.8372093023255814,0.6451612903225806,0.7659574468085107,0.7215239372102118,0.717948717948718,0.7117540432571319
86,328,87,1,25,10,35,8,328,35,43,0.7575757575757576,0.7142857142857143,0.7777777777777778,0.813953488372093,0.7352941176470589,0.7954545454545455,0.7687127687127687,0.7692307692307693,0.768459481694776
87,328,88,0,28,7,34,9,328,35,43,0.7567567567567568,0.8,0.8292682926829268,0.7906976744186046,0.7777777777777778,0.8095238095238095,0.7967310650237479,0.7948717948717948,0.7952787952787953
88,328,89,0,20,15,40,3,328,35,43,0.8695652173913043,0.5714285714285714,0.7272727272727273,0.9302325581395349,0.689655172413793,0.8163265306122448,0.7911219215567041,0.7692307692307693,0.759486818600119
89,328,90,1,22,13,35,8,328,35,43,0.7333333333333333,0.6285714285714286,0.7291666666666666,0.813953488372093,0.6769230769230768,0.7692307692307692,0.7310363247863247,0.7307692307692307,0.7278106508875738
90,328,91,1,24,11,34,9,328,35,43,0.7272727272727273,0.6857142857142857,0.7555555555555555,0.7906976744186046,0.7058823529411764,0.7727272727272727,0.742864542864543,0.7435897435897436,0.7427327574386398
91,328,92,1,21,14,35,8,328,35,43,0.7241379310344828,0.6,0.7142857142857143,0.813953488372093,0.65625,0.7608695652173914,0.7187065807755463,0.717948717948718,0.7139248885172799
92,328,93,1,21,14,36,7,328,35,43,0.75,0.6,0.72,0.8372093023255814,0.6666666666666665,0.7741935483870969,0.7334615384615384,0.7307692307692307,0.7259443065894678
93,328,94,1,26,9,35,8,328,35,43,0.7647058823529411,0.7428571428571429,0.7954545454545454,0.813953488372093,0.7536231884057971,0.8045977011494252,0.7816570684217743,0.782051282051282,0.7817245223542074
94,328,95,1,25,10,36,7,328,35,43,0.78125,0.7142857142857143,0.782608695652174,0.8372093023255814,0.7462686567164178,0.8089887640449438,0.7819990245261984,0.782051282051282,0.7808451261411181
95,328,96,1,22,13,39,4,328,35,43,0.8461538461538461,0.6285714285714286,0.75,0.9069767441860465,0.721311475409836,0.8210526315789475,0.7931459566074951,0.782051282051282,0.7762969845799872
96,328,97,0,25,10,37,6,328,35,43,0.8064516129032258,0.7142857142857143,0.7872340425531915,0.8604651162790697,0.7575757575757576,0.8222222222222222,0.7958573113000017,0.7948717948717948,0.7932141932141932
97,328,98,1,17,18,42,1,328,35,43,0.9444444444444444,0.4857142857142857,0.7,0.9767441860465116,0.6415094339622641,0.8155339805825242,0.8096866096866097,0.7564102564102564,0.7374460429965101
98,328,99,0,23,12,36,7,328,35,43,0.7666666666666667,0.6571428571428571,0.75,0.8372093023255814,0.7076923076923077,0.7912087912087912,0.7574786324786326,0.7564102564102564,0.7537334460411383
99,328,100,1,21,14,40,3,328,35,43,0.875,0.6,0.7407407407407407,0.9302325581395349,0.711864406779661,0.8247422680412371,0.8009852801519468,0.782051282051282,0.7740919456802734
100,328,101,1,22,13,38,5,328,35,43,0.8148148148148148,0.6285714285714286,0.7450980392156863,0.8837209302325582,0.7096774193548386,0.8085106382978724,0.7763812077537567,0.7692307692307693,0.7641623990285624
101,328,102,0,27,8,35,8,328,35,43,0.7714285714285715,0.7714285714285715,0.813953488372093,0.813953488372093,0.7714285714285715,0.8139534883720931,0.7948717948717948,0.7948717948717948,0.7948717948717949
102,328,103,1,21,14,36,7,328,35,43,0.75,0.6,0.72,0.8372093023255814,0.6666666666666665,0.7741935483870969,0.7334615384615384,0.7307692307692307,0.7259443065894678
103,328,104,0,31,4,34,9,328,35,43,0.775,0.8857142857142857,0.8947368421052632,0.7906976744186046,0.8266666666666667,0.8395061728395061,0.8410087719298246,0.8333333333333334,0.8337448559670781
104,328,105,0,32,3,38,5,328,35,43,0.8648648648648649,0.9142857142857143,0.926829268292683,0.8837209302325582,0.888888888888889,0.9047619047619047,0.899024728293021,0.8974358974358975,0.8976393976393976
105,328,106,1,26,9,36,7,328,35,43,0.7878787878787878,0.7428571428571429,0.8,0.8372093023255814,0.7647058823529412,0.8181818181818183,0.7945609945609945,0.7948717948717948,0.7941862059509119
106,328,107,1,18,17,39,4,328,35,43,0.8181818181818182,0.5142857142857142,0.6964285714285714,0.9069767441860465,0.6315789473684209,0.7878787878787877,0.7510614385614386,0.7307692307692307,0.7177442440600335
107,328,108,1,17,18,41,2,328,35,43,0.8947368421052632,0.4857142857142857,0.6949152542372882,0.9534883720930233,0.6296296296296297,0.803921568627451,0.7845787872549693,0.7435897435897436,0.7257136472822747
